# Time (s), Lath thickness (um)
5.402708000000000510e-01,3.295480503636017966e-01
5.404112000000000915e-01,3.295480578872443389e-01
5.405516000000001320e-01,3.295480654020671585e-01
5.406920000000001725e-01,3.295480729080790261e-01
5.408324000000002130e-01,3.295480804052888790e-01
5.409728000000002535e-01,3.295480878937054880e-01
5.411132000000002940e-01,3.295480953733377349e-01
5.412536000000003344e-01,3.295481028441943905e-01
5.413940000000003749e-01,3.295481103062843364e-01
5.415344000000004154e-01,3.295481177596163436e-01
5.416748000000004559e-01,3.295481252041992382e-01
5.418152000000004964e-01,3.295481326400417910e-01
5.419556000000005369e-01,3.295481400671527727e-01
5.420099999999999918e-01,3.295481429435838105e-01
5.421502000000000265e-01,3.295481503481145769e-01
5.422904000000000613e-01,3.295481577440296794e-01
5.424306000000000960e-01,3.295481651313376115e-01
5.425708000000001308e-01,3.295481725100470327e-01
5.427110000000001655e-01,3.295481798801664919e-01
5.428512000000002002e-01,3.295481872417045377e-01
5.429914000000002350e-01,3.295481945946697189e-01
5.431316000000002697e-01,3.295482019390706396e-01
5.432718000000003045e-01,3.295482092749157932e-01
5.434120000000003392e-01,3.295482166022137283e-01
5.435522000000003739e-01,3.295482239209729936e-01
5.436924000000004087e-01,3.295482312312020823e-01
5.438326000000004434e-01,3.295482385329095432e-01
5.439728000000004782e-01,3.295482458261038694e-01
5.440199999999999481e-01,3.295482482804803492e-01
5.441603999999999886e-01,3.295482555728202478e-01
5.443008000000000290e-01,3.295482628567782402e-01
5.444412000000000695e-01,3.295482701323625419e-01
5.445816000000001100e-01,3.295482773995814241e-01
5.447220000000001505e-01,3.295482846584431025e-01
5.448624000000001910e-01,3.295482919089558482e-01
5.450028000000002315e-01,3.295482991511278770e-01
5.451432000000002720e-01,3.295483063849674044e-01
5.452836000000003125e-01,3.295483136104826460e-01
5.454240000000003530e-01,3.295483208276818177e-01
5.455644000000003935e-01,3.295483280365730794e-01
5.457048000000004340e-01,3.295483352371646468e-01
5.458452000000004745e-01,3.295483424294647357e-01
